@relation users

@attribute stationId {8593929,8508101,8588858,8589149,8530038,8589148,8591546,8570600,8572307,8592086,8530749,8592122,8592202,8592004,8592368,8504862,8504100,8501474,8504029,8588768,8592929,8590106,8592369,8591995,8507061,8589131,8589174,8592372,8592373,8592374,8595521,8592176,8570560,null,8588080,8592213,8592379,8504631,8505400,8578881,8592050,8504599,8501125,8580990,8587103,8587226,8507110,8589003,8593866,8530257,8589164,8589163,8588352,8588351,8577742,8577741,8592381,8501213,8581351,8590006,8590049,8507000,8588344,8589155,8589154,299388,8576646,8577813,8595223,8577810,8577811,8592114,8504774,8504975,8501300,8594370}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8593929,8508101,8588858,8589149,8530038,8589148,8591546,8570600,8572307,8592086,8530749,8592122,8592202,8592004,8592368,8504862,8504100,8501474,8504029,8588768,8592929,8590106,8592369,8591995,8507061,8589131,8589174,8592372,8592373,8592374,8595521,8592176,8570560,null,8588080,8592213,8592379,8504631,8505400,8578881,8592050,8504599,8501125,8580990,8587103,8587226,8507110,8589003,8593866,8530257,8589164,8589163,8588352,8588351,8577742,8577741,8592381,8501213,8581351,8590006,8590049,8507000,8588344,8589155,8589154,299388,8576646,8577813,8595223,8577810,8577811,8592114,8504774,8504975,8501300,8594370}
@attribute nextStationId {8593929,8508101,8588858,8589149,8530038,8589148,8591546,8570600,8572307,8592086,8530749,8592122,8592202,8592004,8592368,8504862,8504100,8501474,8504029,8588768,8592929,8590106,8592369,8591995,8507061,8589131,8589174,8592372,8592373,8592374,8595521,8592176,8570560,null,8588080,8592213,8592379,8504631,8505400,8578881,8592050,8504599,8501125,8580990,8587103,8587226,8507110,8589003,8593866,8530257,8589164,8589163,8588352,8588351,8577742,8577741,8592381,8501213,8581351,8590006,8590049,8507000,8588344,8589155,8589154,299388,8576646,8577813,8595223,8577810,8577811,8592114,8504774,8504975,8501300,8594370}

@data
8589148,13,28,4,true,8504975,8504975
8504975,21,38,4,true,8589148,null
8589148,10,26,5,true,null,8504975
8504975,17,52,5,true,8589148,null
8589148,9,55,6,true,null,8577741
8577741,16,55,6,true,8589148,8504975
8504975,21,10,6,true,8577741,null
8589155,13,21,7,false,null,8577741
8577741,13,36,7,false,8589155,8504975
8504975,13,59,7,false,8577741,null
8589148,16,4,2,true,null,null
8504975,8,33,3,true,null,8589148
8589148,16,37,3,true,8504975,8504862
8504862,17,15,3,true,8589148,8504975
8504975,21,23,3,true,8504862,null
8589148,8,2,4,true,null,8589154
8589154,17,10,4,true,8589148,8504975
8504975,17,28,4,true,8589154,null
8577741,10,40,5,true,null,8589148
8589148,11,28,5,true,8577741,8504975
8504975,14,3,5,true,8589148,8592374
8592374,14,40,5,true,8504975,null
8504975,9,12,6,true,null,8589148
8589148,9,51,6,true,8504975,8577741
8577741,11,0,6,true,8589148,8589148
8589148,16,11,6,true,8577741,null
8504975,11,34,7,false,null,8588858
8588858,13,15,7,false,8504975,null
8504975,8,9,2,true,null,8589148
8589148,17,3,2,true,8504975,8504975
8504975,19,22,2,true,8589148,null
8589148,14,50,3,true,null,8592374
8592374,16,15,3,true,8589148,8588344
8588344,17,54,3,true,8592374,8592374
8592374,18,7,3,true,8588344,null
8504975,9,24,4,true,null,8589148
8589148,17,20,4,true,8504975,null
8504975,8,15,5,true,null,8589148
8589148,16,34,5,true,8504975,null
8504975,8,38,6,true,null,8577741
8577741,11,8,6,true,8504975,8589148
8589148,16,8,6,true,8577741,8504975
8504975,16,43,6,true,8589148,null
8589148,11,2,2,true,null,8504100
8504100,11,26,2,true,8589148,8501300
8501300,12,40,2,true,8504100,8570600
8570600,12,54,2,true,8501300,8530038
8530038,18,49,2,true,8570600,null
8501474,12,18,6,true,null,8592374
8592374,14,11,6,true,8501474,null
8577741,11,32,7,false,null,8588858
8588858,13,35,7,false,8577741,null
8504975,16,25,1,false,null,8589155
8589155,19,17,1,false,8504975,8504975
8504975,21,54,1,false,8589155,null
8589148,17,5,2,true,null,null
8504975,8,31,3,true,null,8577741
8577741,17,42,3,true,8504975,null
8504975,8,40,4,true,null,8589148
8589148,9,44,4,true,8504975,8504975
8504975,17,27,4,true,8589148,null
8589148,16,4,5,true,null,null
8504975,8,29,6,true,null,8589148
8589148,8,46,6,true,8504975,8504975
8504975,19,57,6,true,8589148,8589148
8589148,21,39,6,true,8504975,null
8504975,10,17,7,false,null,8588858
8588858,11,19,7,false,8504975,8504975
8504975,13,13,7,false,8588858,null
8592374,14,0,1,false,null,null
8504975,8,46,2,true,null,8589148
8589148,15,3,2,true,8504975,8588352
8588352,15,24,2,true,8589148,8589154
8589154,15,33,2,true,8588352,8589148
8589148,16,14,2,true,8589154,null
8504975,9,7,3,true,null,8589148
8589148,17,49,3,true,8504975,null
8504975,8,40,4,true,null,8589148
8589148,16,11,4,true,8504975,null
8504975,8,40,5,true,null,8589148
8589148,10,21,5,true,8504975,null
8504975,8,59,6,true,null,8589148
8589148,15,25,6,true,8504975,8588351
8588351,18,59,6,true,8589148,8588352
8588352,19,14,6,true,8588351,null
8504975,10,50,7,false,null,null
8591995,19,8,1,false,null,8592114
8592114,19,10,1,false,8591995,8504029
8504029,20,30,1,false,8592114,null
8504975,8,39,2,true,null,8589148
8589148,16,9,2,true,8504975,8504975
8504975,16,40,2,true,8589148,null
8577741,16,19,3,true,null,8504975
8504975,17,20,3,true,8577741,null
8589148,16,26,4,true,null,null
8504975,8,31,5,true,null,8589148
8589148,17,35,5,true,8504975,null
8504975,8,19,2,true,null,8589148
8589148,9,9,2,true,8504975,null
8504975,8,32,3,true,null,8589148
8589148,13,58,3,true,8504975,null
8504975,8,28,4,true,null,8589148
8589148,17,13,4,true,8504975,8504975
8504975,23,40,4,true,8589148,null
8589148,17,7,5,true,null,null
8504975,8,2,6,true,null,8577741
8577741,17,33,6,true,8504975,8577810
8577810,18,54,6,true,8577741,null
8504975,0,19,1,false,null,null
8589148,8,59,2,true,null,8592374
8592374,9,44,2,true,8589148,8504100
8504100,9,46,2,true,8592374,8589131
8589131,10,38,2,true,8504100,8592374
8592374,10,55,2,true,8589131,null
8504975,8,29,3,true,null,8577741
8577741,16,45,3,true,8504975,null
8589148,17,7,4,true,null,null
8504975,8,33,5,true,null,8589148
8589148,17,24,5,true,8504975,null
8589154,19,23,6,true,null,null
8504975,8,30,3,true,null,8589148
8589148,9,24,3,true,8504975,8589154
8589154,17,11,3,true,8589148,null
8589148,9,5,4,true,null,null
8504975,10,26,7,false,null,null
8590106,7,21,4,true,null,8507000
8507000,11,51,4,true,8590106,8589148
8589148,17,44,4,true,8507000,null
8504975,7,32,2,true,null,null
8590049,9,29,3,true,null,8576646
8576646,9,40,3,true,8590049,8577810
8577810,10,33,3,true,8576646,8577741
8577741,15,57,3,true,8577810,null
8504975,6,30,4,true,null,8589148
8589148,13,41,4,true,8504975,8577741
8577741,16,54,4,true,8589148,null
8589148,10,51,5,true,null,null
8577741,10,33,4,true,null,8504599
8504599,11,30,4,true,8577741,8576646
8576646,11,48,4,true,8504599,8590049
8590049,14,32,4,true,8576646,8507000
8507000,14,51,4,true,8590049,8576646
8576646,15,3,4,true,8507000,null
8504975,7,22,5,true,null,8577742
8577742,7,27,5,true,8504975,8589148
8589148,11,37,5,true,8577742,null
8577741,16,33,7,false,null,null
8504975,13,28,1,false,null,8592374
8592374,13,41,1,false,8504975,8588352
8588352,19,20,1,false,8592374,8588858
8588858,19,29,1,false,8588352,null
8589148,15,28,4,true,null,null
8577741,20,12,5,true,null,null
8589148,11,4,6,true,null,null
8504774,14,6,7,false,null,null
8504975,6,51,3,true,null,8592374
8592374,17,42,3,true,8504975,8589155
8589155,17,45,3,true,8592374,null
8504975,15,34,4,true,null,8589148
8589148,18,38,4,true,8504975,null
8504975,5,0,6,true,null,8577741
8577741,15,12,6,true,8504975,8589148
8589148,15,51,6,true,8577741,null
8504975,8,1,7,false,null,8593929
8593929,11,28,7,false,8504975,8501125
8501125,12,6,7,false,8593929,8570560
8570560,12,6,7,false,8501125,8589154
8589154,13,40,7,false,8570560,null
8577741,11,24,1,false,null,8504100
8504100,13,44,1,false,8577741,8577811
8577811,15,8,1,false,8504100,null
8504975,7,28,2,true,null,null
8589148,16,11,3,true,null,null
8504975,6,2,4,true,null,null
8589148,18,12,6,true,null,null
8595223,11,32,4,true,null,null
8504975,6,50,6,true,null,8589148
8589148,15,51,6,true,8504975,null
8504975,10,14,7,false,null,8577741
8577741,11,53,7,false,8504975,null
8504975,6,21,6,true,null,8594370
8594370,18,37,6,true,8504975,null
8580990,9,4,7,false,null,8591546
8591546,11,7,7,false,8580990,8505400
8505400,11,8,7,false,8591546,8578881
8578881,12,39,7,false,8505400,8592374
8592374,18,41,7,false,8578881,8504975
8504975,19,13,7,false,8592374,null
8590049,11,20,2,true,null,8504975
8504975,20,33,2,true,8590049,null
8587226,10,49,4,true,null,null
8504975,21,6,5,true,null,null
